Total number of applications (application-types: [] and states: [NEW, NEW_SAVING, SUBMITTED, ACCEPTED, RUNNING, FINISHED, FAILED, KILLED]):4929
                Application-Id	    Application-Name	    Application-Type	      User	     Queue	             State	       Final-State	       Progress	                       Tracking-URL
application_1422482982071_4698	rhipe--128-15-FALSE-googlebooks-eng-all-5gram-20120701-on	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4698
application_1422482982071_1937	                GSO0	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1937
application_1422482982071_4927	rhadoop-50-4-true-googlebooks-eng-all-5gram-20120701-st	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4927
application_1422482982071_4173	rhipe--96-50-TRUE-googlebooks-eng-all-5gram-20120701-on	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4173
application_1422482982071_4247	rhipe--96-20-TRUE-googlebooks-eng-all-5gram-20120701-st	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4247
application_1422482982071_2325	              GSO121	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2325
application_1422482982071_2221	          word count	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2221
application_1422482982071_1305	          RWordCount	               SPARK	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_0177	          RWordCount	               SPARK	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_4889	rhipe--50-20-FALSE-book.txt	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4889
application_1422482982071_1354	          RWordCount	               SPARK	    rhuang	root.rhuang	            KILLED	            KILLED	           100%	name.rustler.tacc.utexas.edu:8088/cluster/app/application_1422482982071_1354
application_1422482982071_0075	streamjob153383038675644216.jar	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0075
application_1422482982071_2344	py-59-14-googlebooks-eng-all-5gram-20090715-0.csv	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2344
application_1422482982071_2674	              GSO160	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2674
application_1422482982071_3163	              GSO137	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3163
application_1422482982071_1952	               GSO14	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1952
application_1422482982071_2611	              GSO106	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2611
application_1422482982071_2072	              GSO132	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2072
application_1422482982071_1704	rhipe--8-28-googlebooks-eng-all-5gram-20090715-0.csv	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1704
application_1422482982071_4837	py-50-4-C-true-googlebooks-eng-all-5gram-20120701-on	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4837
application_1422482982071_3384	              GSO146	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3384
application_1422482982071_1696	-15-4-googlebooks-eng-all-5gram-20090715-0.csv	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1696
application_1422482982071_3993	RhadoopM249R110Ctruegooglebooks-eng-all-5gram-20120701-re	           MAPREDUCE	  lprakash	root.lprakash	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3993
application_1422482982071_2940	              GSO118	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2940
application_1422482982071_2078	              GSO138	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2078
application_1422482982071_4369	rhipe--128-4-FALSE-googlebooks-eng-all-5gram-20120701-un	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4369
application_1422482982071_1059	         RHIPE WC  1	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1059
application_1422482982071_3266	               GSO32	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3266
application_1422482982071_1266	sparkR-3-book1000.txt	               SPARK	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_3211	              GSO184	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3211
application_1422482982071_4582	rhipe--128-15-FALSE-googlebooks-eng-all-5gram-20120701-un	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4582
application_1422482982071_1477	streamjob4282203261647658303.jar	           MAPREDUCE	  lprakash	root.lprakash	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1477
application_1422482982071_4054	rhipe--48-20-TRUE-googlebooks-eng-all-5gram-20120701-ta	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4054
application_1422482982071_0391	          RWordCount	               SPARK	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_2280	               GSO89	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2280
application_1422482982071_3160	              GSO134	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3160
application_1422482982071_1184	          RWordCount	               SPARK	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_3154	              GSO128	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3154
application_1422482982071_4792	py-50-5-C-false-googlebooks-eng-all-5gram-20120701-st	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4792
application_1422482982071_2223	               GSO55	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2223
application_1422482982071_1903	          RWordCount	               SPARK	    rhuang	root.rhuang	            KILLED	            KILLED	           100%	name.rustler.tacc.utexas.edu:8088/cluster/app/application_1422482982071_1903
application_1422482982071_2303	r-118-28-googlebooks-eng-all-5gram-20090715-0.csv	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2303
application_1422482982071_2956	              GSO134	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2956
application_1422482982071_3543	               GSO51	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3543
application_1422482982071_0688	          RWordCount	               SPARK	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_0539	streamjob4608201889479282885.jar	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	            FAILED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0539
application_1422482982071_3810	              GSO114	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3810
application_1422482982071_4515	rhadoop-50-25-false-googlebooks-eng-all-5gram-20120701-ta	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4515
application_1422482982071_2774	rhipe--80-100-TRUE-googlebooks-eng-all-5gram-20120701-re	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2774
application_1422482982071_0045	Cluster Iterator running iteration 10 over priorPath: fkm/oss3/clusters-9	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0045
application_1422482982071_3645	              GSO152	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3645
application_1422482982071_2016	               GSO77	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2016
application_1422482982071_0197	streamjob6008750505319176774.jar	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	            FAILED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0197
application_1422482982071_0429	streamjob7711777893288135250.jar	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0429
application_1422482982071_2766	rhipe--64-125-FALSE-googlebooks-eng-all-5gram-20120701-re	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2766
application_1422482982071_3456	py-398-100-C-false-googlebooks-eng-all-5gram-20120701-re	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3456
application_1422482982071_0444	streamjob6633173163144345754.jar	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0444
application_1422482982071_3704	                GSO9	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3704
application_1422482982071_3928	                test	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3928
application_1422482982071_0320	Soapsnp hdfs:///tmp/crossbow/align	           MAPREDUCE	       xwj	  root.xwj	          FINISHED	            FAILED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0320
application_1422482982071_1279	r-0-1-book100.txt.gz	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1279
application_1422482982071_4575	rhipe--500-200-book.txt	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	            FAILED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4575
application_1422482982071_1387	          RWordCount	               SPARK	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_0015	streamjob9168078857087139301.jar	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0015
application_1422482982071_1839	  5gram-0-118-30-new	           MAPREDUCE	  lprakash	root.lprakash	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1839
application_1422482982071_1676	rhipe--96-3-googlebooks-eng-all-5gram-20090715-0.csv	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1676
application_1422482982071_2086	              GSO146	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2086
application_1422482982071_4300	r-50-30-C-false-googlebooks-eng-all-5gram-20120701-ta	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4300
application_1422482982071_3081	               GSO56	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3081
application_1422482982071_2638	              GSO130	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2638
application_1422482982071_4778	py-50-10-C-true-googlebooks-eng-all-5gram-20120701-on	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4778
application_1422482982071_4236	rhipe--32-20-TRUE-googlebooks-eng-all-5gram-20120701-st	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4236
application_1422482982071_4419	rhipe--128-1-FALSE-googlebooks-eng-all-5gram-20120701-on	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4419
application_1422482982071_2725	r-366-92-C--googlebooks-eng-all-5gram-20120701-be	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	            KILLED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2725
application_1422482982071_1292	          RWordCount	               SPARK	    rhuang	root.rhuang	            KILLED	            KILLED	           100%	name.rustler.tacc.utexas.edu:8088/cluster/app/application_1422482982071_1292
application_1422482982071_0383	          RWordCount	               SPARK	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_1566	          RWordCount	               SPARK	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_1384	Distributional Vector	               SPARK	   pxcheng	root.pxcheng	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_3660	              GSO167	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3660
application_1422482982071_3534	               GSO42	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3534
application_1422482982071_3945	                test	           MAPREDUCE	    rhuang	root.rhuang	            KILLED	            KILLED	           100%	name.rustler.tacc.utexas.edu:8088/cluster/app/application_1422482982071_3945
application_1422482982071_1493	rhipe--16-10-book1000.txt	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1493
application_1422482982071_4535	rhipe--128-15-FALSE-googlebooks-eng-all-5gram-20120701-ta	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4535
application_1422482982071_2963	              GSO141	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2963
application_1422482982071_3204	              GSO177	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3204
application_1422482982071_0414	streamjob4426599192053368362.jar	           MAPREDUCE	    rhuang	root.rhuang	            KILLED	            KILLED	           100%	name.rustler.tacc.utexas.edu:8088/cluster/app/application_1422482982071_0414
application_1422482982071_2390	hadoopr-8-2-googlebooks-eng-all-5gram-20090715-0.csv	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2390
application_1422482982071_0217	streamjob9042100948331450957.jar	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0217
application_1422482982071_4016	           wordcount	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4016
application_1422482982071_2353	              GSO140	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2353
application_1422482982071_0969	streamjob778374032087062420.jar	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0969
application_1422482982071_1597	                GSO2	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1597
application_1422482982071_1893	          RWordCount	               SPARK	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_0290	streamjob6846059257945224634.jar	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	            FAILED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0290
application_1422482982071_4827	py-50-10-C-false-googlebooks-eng-all-5gram-20120701-on	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4827
application_1422482982071_3702	                GSO7	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3702
application_1422482982071_1504	          RWordCount	               SPARK	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_2402	rhipe--64-192-googlebooks-eng-all-5gram-20120701-be	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2402
application_1422482982071_1210	r-10-10-enwiki-latest-stub-meta-current1.xml	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1210
application_1422482982071_2295	              GSO101	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2295
application_1422482982071_4434	rhipe--128-8-FALSE-googlebooks-eng-all-5gram-20120701-on	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4434
application_1422482982071_4160	rhipe--128-20-TRUE-googlebooks-eng-all-5gram-20120701-ta	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4160
application_1422482982071_2817	py-332-83-C-false-googlebooks-eng-all-5gram-20120701-re	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2817
application_1422482982071_3105	               GSO80	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3105
application_1422482982071_3283	               GSO49	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3283
application_1422482982071_1669	rhipe--128-2-googlebooks-eng-all-5gram-20090715-0.csv	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1669
application_1422482982071_4621	rhipe--10-0-book.txt	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	            FAILED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4621
application_1422482982071_1882	py-8-2-googlebooks-eng-all-5gram-20090715-0.csv	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1882
application_1422482982071_0166	streamjob1160014028882526558.jar	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	            FAILED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_0166
application_1422482982071_3838	              GSO142	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3838
application_1422482982071_1459	          RwordCount	               SPARK	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_2024	               GSO85	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2024
application_1422482982071_2053	              GSO113	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2053
application_1422482982071_1446	streamjob570730998824548690.jar	           MAPREDUCE	  lprakash	root.lprakash	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1446
application_1422482982071_3999	py-150-100-C-false-googlebooks-eng-all-5gram-20120701-re	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3999
application_1422482982071_2530	               GSO34	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2530
application_1422482982071_4439	rhipe--128-32-FALSE-googlebooks-eng-all-5gram-20120701-on	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4439
application_1422482982071_4342	py-50-15-C-false-googlebooks-eng-all-5gram-20120701-un	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4342
application_1422482982071_3667	              GSO173	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3667
application_1422482982071_4736	rhipe--50-20-FALSE-book.txt	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	            FAILED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4736
application_1422482982071_3964	                test	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	            FAILED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3964
application_1422482982071_1339	          RWordCount	               SPARK	    rhuang	root.rhuang	            KILLED	            KILLED	           100%	name.rustler.tacc.utexas.edu:8088/cluster/app/application_1422482982071_1339
application_1422482982071_4910	rhipe--50-20-FALSE-book.txt	           MAPREDUCE	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4910
application_1422482982071_5017	r-45-15-C-false-googlebooks-eng-all-5gram-20120701-ta	           MAPREDUCE	   dotcz12	root.dotcz12	           RUNNING	         UNDEFINED	          19.5%	http://c253-101.rustler.tacc.utexas.edu:51662
application_1422482982071_4576	rhadoop-50-40-false-googlebooks-eng-all-5gram-20120701-st	           MAPREDUCE	   dotcz12	root.dotcz12	          FINISHED	            FAILED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_4576
application_1422482982071_2228	               GSO58	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_2228
application_1422482982071_1901	          RWordCount	               SPARK	    rhuang	root.rhuang	          FINISHED	         SUCCEEDED	           100%	                                N/A
application_1422482982071_3737	               GSO42	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_3737
application_1422482982071_1947	                GSO9	           MAPREDUCE	    sim123	root.sim123	          FINISHED	         SUCCEEDED	           100%	http://name.rustler.tacc.utexas.edu:19888/jobhistory/job/job_1422482982071_1947
